Fund name,Fund type,Total assets,Number of MySuper products authorised,Total number of member accounts,Average member account balance,Proportion of total assets in default or MySuper strategy,One-year rate of return,Five-year rate of return,Ten-year rate of return,Operating expense ratio,Investment expenses ratio
Australia's Unclaimed Super Fund,Retail,532378e3,NA,765321,1,NA,5.3,6.3100000000000005,2.488,1.975051566643748,0.00785777428543365
Austsafe Superannuation Fund,Industry,2524565e3,1,114443,19,75.98318918308699,10.7,9.763,4.25,0.693606770078032,0.44234164421988575
Avanteos Superannuation Trust,Retail,7760598e3,NA,27945,277,0,6.800000000000001,7.266,2.0869999999999997,0.42736143972117707,0
AvSuper Fund,Public sector,2240336e3,1,6463,301,29.30122981552767,8.7,9.447999999999999,4.022,0.2333680141345167,0.45971291520393615
AvWrap Retirement Service,Retail,412347e3,NA,1256,327,0,7.1,7.686,2.056,0.4699866771283682,2.632978583352203e-4
Boc Gases Superannuation Fund,Corporate,69047e4,1,3502,191,59.96509623879387,9.2,9.966,3.8859999999999997,0.27314771704379676,0.022814042275817115
BT Lifetime Super,Retail,1800308e3,NA,27902,64,0,7.5,8.447000000000001,3.009,0.29851489130944325,0.6890496890132283
BT Superannuation Savings Fund,Retail,8408e3,NA,566,15,0,0.6,0.9530000000000001,2.0389999999999997,0.1670564650851988,0
Building Unions Superannuation Scheme (Queensland),Industry,4339445e3,1,85271,50,74.7274824315091,9.5,10.79,5.194,0.4044320695189031,0.001249291417524123
Care Super,Industry,16118643e3,1,247906,52,59.43535073020725,11,10.484,5.518,0.35194466098831884,0.24518974335695284
CBH Superannuation Fund,Corporate,265452e3,1,1195,213,1.3218962373611802,8.799999999999999,7.95,4.915,0.29560738547887544,0.12063861462379576
Challenger Retirement Fund,Retail,820284e3,NA,4888,165,0,2.4,4.665,4.68,0,0
Christian Super,Industry,1315681e3,1,25757,50,57.968078888423555,7.3,8.517,3.231,0.6288760929835786,0.5035615269780337
ClearView Retirement Plan,Retail,1888393e3,NA,32044,59,0,6.6000000000000005,7.475999999999999,3.1559999999999997,0.12570462884724456,0.0320049078050305
Club Plus Superannuation Scheme,Industry,2541715e3,1,81963,30,84.73097888630315,11.200000000000001,8.891,4.301,0.5651604216037734,0.29353293215079707
Club Super,Industry,541285e3,1,26058,20,80.76825701802193,10.5,9.501,3.46,1.3207605566961385,0.6644038419874341
Colonial First State FirstChoice Superannuation Trust,Retail,72074739e3,1,783474,91,11.198482453054739,7.8,8.138,2.8920000000000003,0.29996131881266264,7.390252971224813e-5
Colonial First State Rollover & Superannuation Fund,Retail,2757622e3,NA,36818,74,0,6.2,9.908999999999999,2.989,1.0709491850431447,7.375175160410059e-5
Colonial Super Retirement Fund,Retail,3731411e3,NA,105329,35,0,7.5,7.579,3.2910000000000004,0.555820306910273,0
Combined Super Fund,Industry,827941e3,1,9021,89,41.64258081191775,6.4,9.171,4.222,0.44677700822764627,0.11642650997922993
CommInsure Corporate Insurance Superannuation Trust,Retail,1065e3,NA,6186,0,0,0,NA,NA,18.181818181818183,0
Commonwealth Bank Approved Deposit Fund,Retail,16381e3,NA,2038,8,0,0.7000000000000001,1.268,2.39,1.280107798551457,0
Commonwealth Bank Group Super,Corporate,11061177e3,1,74008,137,45.942750938711136,7.5,8.412,5.394,0.16111156657162726,0.5203687003484778
Commonwealth Essential Super,Retail,2764563e3,1,245220,11,91.06397647657153,7.7,NA,NA,0.6802866357188098,0
Concept One The Industry Superannuation Fund,Industry,51009e4,1,24027,21,86.2908506342018,10.2,7.603,3.5970000000000004,0.7704927702131471,0
Construction & Building Unions Superannuation,Industry,40275274e3,1,755214,52,85.79499670194672,11.5,11.035,5.362,0.3494347845007877,0.4229391484846835
Crescent Wealth Superannuation Fund,Retail,158006e3,NA,5498,28,0,1.3,NA,NA,0.7882302721639166,0
Crown Employees (NSW Fire Brigades Firefighting Staff Death & Disability) Superannuation Fund,Public sector,2727e3,NA,6624,0,0,-72.1,NA,NA,74.20091324200914,0
CSS Fund,Public sector,65239578e3,NA,120585,NA,0,8.6,9.046,4.607,0,0
CUBS Superannuation Fund,Retail,73922e3,NA,1234,59,0,4.5,2.93,3.562,0.47640488605498993,0.0058098156835974385
Definitive Superannuation Plan,Retail,122159e3,NA,270,451,0,9.4,7.582,NA,0.6327689267938874,0
DIY Master Plan,Retail,141912e3,NA,3124,45,0,4.6,6.0760000000000005,NA,0.8303991053753043,0
Dow Australia Superannuation Fund,Retail,91779e3,NA,323,282,0,7.9,8.81,4.337,0.7741474895980903,0.12939641036509866
DuluxGroup Employees Superannuation Fund,Retail,319689e3,1,2135,152,12.02825245785748,9,8.842,NA,0.3797960667602347,0.0257030285607995
Elphinstone Group Superannuation Fund,Corporate,67207e3,1,619,107,78.49033582811315,9.700000000000001,9.807,4.758,0.9682678215620728,0.0016467139822484232
EmPlus Superannuation Fund,Retail,165864e3,1,22006,7,71.30661264650557,7.6,7.887,1.754,1.8327964020286434,0.04720742560045931
Encircle Superannuation Fund,Retail,1403359e3,NA,3606,388,0,4.3999999999999995,6.938,NA,0.24356743406049805,0
Energy Industries Superannuation Scheme-Pool A,Public sector,3352509e3,1,18778,178,37.75515591457025,6.6000000000000005,7.6160000000000005,3.6799999999999997,0.38395189174601096,0.16489031131876764
Energy Industries Superannuation Scheme-Pool B,Public sector,2011969e3,NA,3029,640,0,7.1,8.886,3.511,0.4257943536210119,0.18496829115008856
Energy Super,Industry,7058283e3,1,47736,134,27.412559116714363,10.9,9.995,5.094,0.3725226311347804,0.40828100347526164
equipsuper,Industry,8399476e3,2,47391,161,27.127644629260207,9.9,9.606,4.829,0.2711822896702739,0.40758399369344755
Fiducian Superannuation Fund,Retail,1156924e3,NA,5688,202,0,8.799999999999999,9.554,2.803,1.1219108624921736,0.05284291978132213
Fire and Emergency Services Superannuation Fund,Public sector,646194e3,NA,2292,257,0,8.4,8.466,4.022,0.405141339080793,0.40343619876479636
First State Superannuation Scheme,Public sector,65919428e3,1,793245,80,74.32474687128656,11.1,9.597,4.805000000000001,0.24790969419913844,0.37425884585736435
First Super,Industry,2722228e3,1,64266,41,86.82560755381253,10.9,9.807,4.36,0.46766087226279496,0.14783339862121964
Future Super Fund,Retail,244204e3,NA,7189,33,0,-0.8,3.8449999999999998,NA,0.2710714570453211,0.053634459415384396
Goldman Sachs & JBWere Superannuation Fund,Corporate,471237e3,1,1867,226,81.32744245464596,9.2,13.244,7.031,0.3949239741521662,0
Grosvenor Pirie Master Superannuation Fund Series 2,Retail,782e5,NA,5793,13,0,6.800000000000001,7.706,3.0949999999999998,3.2327910058330946,0.6994248869581848
Guild Retirement Fund,Retail,1557015e3,1,76107,20,67.6501510903877,9.5,8.077,3.094,0.9064933152224237,0.31263921303577197
Health Employees Superannuation Trust Australia,Industry,42064051e3,1,854011,47,77.9193092933441,10.5,9.836,4.836,0.29000802484211996,0.36924601374690347
Holden Employees Superannuation Fund,Corporate,587254e3,NA,3143,182,0,6.3,7.992000000000001,3.932,0.36022379448658814,0
HOSTPLUS Superannuation Fund,Industry,25412966e3,1,1119299,22,84.94585401798437,12.2,10.917,5.039,0.47183097619366454,0.019407920840436757
HUB24 Super Fund,Retail,289598e4,NA,14287,201,0,4.5,4.691,NA,0.5471438542495783,0.16993189690468669
IAG & NRMA Superannuation Plan,Corporate,2005201e3,1,15125,128,67.27579928396206,9.8,9.062000000000001,4.057,0.282402275269486,0.2664624586665507
Incitec Pivot Employees Superannuation Fund,Retail,194672e3,1,1164,165,28.373880167666638,9.1,8.997,4.501,0.48911781936353893,0.0259757485989676
ING Superannuation Fund,Retail,2502088e3,NA,57252,44,0,7.199999999999999,NA,NA,0.15138335838793707,0.048563854813352764
Intrust Super Fund,Industry,2338205e3,1,119071,19,71.8700456119117,11.899999999999999,10.161000000000001,4.04,0.723254182390842,0.41454268325962035
IOOF Portfolio Service Superannuation Fund,Retail,25754519e3,1,339935,75,11.377863434374373,7.9,7.901,2.0629999999999997,0.8573000598952811,0.005151649691854872
IRIS Superannuation Fund,Retail,495591e3,NA,3262,151,0,6.6000000000000005,8.753,4.769,0.9948542024013722,0
ISARF Superannuation Fund,Retail,13791e3,NA,185,74,0,3,1.345,NA,0.5744768157570783,0.12310217480508823
Kinetic Superannuation Fund,Industry,3652544e3,1,274363,13,82.68042766904382,9.6,8.628,3.437,1.1601778034082921,0.05888044504295009
Labour Union Co-Operative Retirement Fund,Industry,5827923e3,1,164037,34,100,9.8,8.702,3.749,0.2987012509119558,0.841914159268212
